theta1,theta2,objective
5,25,9.89E-06
5,24,1.37E-05
5,23,6.77E-05
5,22,9.08E-05
5,21,0.00030062
5,20,0.00039108
5,19,0.00097449
5,18,0.0012301
5,17,0.0024563
5,16,0.0030096
5,15,0.0050271
5,14,0.0059854
5,13,0.0086738
5,12,0.010063
5,11,0.013093
5,10,0.01489
5,9,0.01796
5,8,0.020199
5,7,0.023231
5,6,0.026006
5,5,0.029103
5,4,0.032209
5,3,0.034694
5,2,0.034815
5,1,0.02759
5,0,-0.03125
2.5,25,1.37E-05
2.5,24,6.77E-05
2.5,23,9.08E-05
2.5,22,0.00030062
2.5,21,0.00039108
2.5,20,0.00097449
2.5,19,0.0012301
2.5,18,0.0024563
2.5,17,0.0030096
2.5,16,0.0050271
2.5,15,0.0059854
2.5,14,0.0086738
2.5,13,0.010063
2.5,12,0.013093
2.5,11,0.014863
2.5,10,0.017918
2.5,9,0.020001
2.5,8,0.022945
2.5,7,0.025311
2.5,6,0.028191
2.5,5,0.0308
2.5,4,0.033496
2.5,3,0.035379
2.5,2,0.034849
2.5,1,0.027483
2.5,0,-0.03125
0,25,9.08E-05
0,24,0.00030062
0,23,0.00039036
0,22,0.00097378
0,21,0.0012229
0,20,0.0024491
0,19,0.0029738
0,18,0.004991
0,17,0.0058687
0,16,0.0085525
0,15,0.0097758
0,14,0.012785
0,13,0.014288
0,12,0.017285
0,11,0.019012
0,10,0.021839
0,9,0.023795
0,8,0.026498
0,7,0.02874
0,6,0.031416
0,5,0.03374
0,4,0.035529
0,3,0.034852
0,2,0.027482
0,1,0.0058824
0,0,-0.03125
-2.5,25,0.00030062
-2.5,24,0.00039036
-2.5,23,0.00097355
-2.5,22,0.0012225
-2.5,21,0.0024465
-2.5,20,0.00297
-2.5,19,0.0049757
-2.5,18,0.0058474
-2.5,17,0.0084917
-2.5,16,0.0096938
-2.5,15,0.012606
-2.5,14,0.014054
-2.5,13,0.016873
-2.5,12,0.018488
-2.5,11,0.021047
-2.5,10,0.022818
-2.5,9,0.02518
-2.5,8,0.02717
-2.5,7,0.029522
-2.5,6,0.031756
-2.5,5,0.034003
-2.5,4,0.035537
-2.5,3,0.034822
-2.5,2,0.027481
-2.5,1,0.0058824
-2.5,0,-0.03125
-5,25,0.00039036
-5,24,0.00097355
-5,23,0.0012225
-5,22,0.0024465
-5,21,0.00297
-5,20,0.0049757
-5,19,0.0058474
-5,18,0.0084917
-5,17,0.0096938
-5,16,0.012606
-5,15,0.014054
-5,14,0.016873
-5,13,0.018488
-5,12,0.021027
-5,11,0.022786
-5,10,0.025021
-5,9,0.026934
-5,8,0.028934
-5,7,0.030971
-5,6,0.032785
-5,5,0.034507
-5,4,0.035392
-5,3,0.034209
-5,2,0.027379
-5,1,0.0058824
-5,0,-0.03125
-7.5,25,0.00097355
-7.5,24,0.0012225
-7.5,23,0.0024465
-7.5,22,0.00297
-7.5,21,0.0049757
-7.5,20,0.0058474
-7.5,19,0.0084917
-7.5,18,0.0096938
-7.5,17,0.012603
-7.5,16,0.014049
-7.5,15,0.016841
-7.5,14,0.018441
-7.5,13,0.020895
-7.5,12,0.022603
-7.5,11,0.024713
-7.5,10,0.026543
-7.5,9,0.028482
-7.5,8,0.030339
-7.5,7,0.032198
-7.5,6,0.033619
-7.5,5,0.034834
-7.5,4,0.034967
-7.5,3,0.033152
-7.5,2,0.026892
-7.5,1,0.0058824
-7.5,0,-0.03125
-10,25,0.0023407
-10,24,0.0028375
-10,23,0.0047516
-10,22,0.0055704
-10,21,0.0081061
-10,20,0.0092146
-10,19,0.012032
-10,18,0.01332
-10,17,0.01607
-10,16,0.017418
-10,15,0.019906
-10,14,0.021249
-10,13,0.023444
-10,12,0.024806
-10,11,0.026745
-10,10,0.028204
-10,9,0.029929
-10,8,0.031507
-10,7,0.032964
-10,6,0.03409
-10,5,0.034835
-10,4,0.034396
-10,3,0.031971
-10,2,0.02607
-10,1,0.0058824
-10,0,-0.03125
-12.5,25,0.0028375
-12.5,24,0.0048894
-12.5,23,0.0055704
-12.5,22,0.0083101
-12.5,21,0.0092146
-12.5,20,0.012273
-12.5,19,0.01332
-12.5,18,0.016291
-12.5,17,0.017418
-12.5,16,0.020037
-12.5,15,0.021236
-12.5,14,0.023418
-12.5,13,0.024729
-12.5,12,0.02653
-12.5,11,0.027958
-12.5,10,0.029495
-12.5,9,0.030892
-12.5,8,0.032166
-12.5,7,0.033269
-12.5,6,0.034344
-12.5,5,0.034375
-12.5,4,0.033752
-12.5,3,0.031684
-12.5,2,0.024076
-12.5,1,0.0058824
-12.5,0,-0.03125
-15,25,0.0048894
-15,24,0.0080324
-15,23,0.0083101
-15,22,0.011854
-15,21,0.012273
-15,20,0.015716
-15,19,0.016291
-15,18,0.019298
-15,17,0.020037
-15,16,0.022502
-15,15,0.023418
-15,14,0.02538
-15,13,0.026495
-15,12,0.028023
-15,11,0.029338
-15,10,0.030463
-15,9,0.031738
-15,8,0.032647
-15,7,0.033485
-15,6,0.034206
-15,5,0.034107
-15,4,0.032953
-15,3,0.029638
-15,2,0.024076
-15,1,0.0058824
-15,0,-0.03125
-17.5,25,0.008032
-17.5,24,0.0091498
-17.5,23,0.011849
-17.5,22,0.013167
-17.5,21,0.015694
-17.5,20,0.017104
-17.5,19,0.019238
-17.5,18,0.020661
-17.5,17,0.022392
-17.5,16,0.023771
-17.5,15,0.025232
-17.5,14,0.02651
-17.5,13,0.027873
-17.5,12,0.028949
-17.5,11,0.030274
-17.5,10,0.03099
-17.5,9,0.032357
-17.5,8,0.032786
-17.5,7,0.033744
-17.5,6,0.033877
-17.5,5,0.033463
-17.5,4,0.0325
-17.5,3,0.028487
-17.5,2,0.024076
-17.5,1,0.0058824
-17.5,0,-0.03125
-20,25,0.0091498
-20,24,0.012201
-20,23,0.013167
-20,22,0.016118
-20,21,0.017104
-20,20,0.019676
-20,19,0.020661
-20,18,0.022747
-20,17,0.023771
-20,16,0.025385
-20,15,0.02651
-20,14,0.027703
-20,13,0.028949
-20,12,0.029698
-20,11,0.030905
-20,10,0.031484
-20,9,0.032502
-20,8,0.033297
-20,7,0.033278
-20,6,0.033768
-20,5,0.032721
-20,4,0.030996
-20,3,0.028487
-20,2,0.01911
-20,1,0.0058824
-20,0,-0.03125
-22.5,25,0.012991
-22.5,24,0.015585
-22.5,23,0.016808
-22.5,22,0.019019
-22.5,21,0.020198
-22.5,20,0.021991
-22.5,19,0.02309
-22.5,18,0.024548
-22.5,17,0.025555
-22.5,16,0.026777
-22.5,15,0.027668
-22.5,14,0.028694
-22.5,13,0.029361
-22.5,12,0.030376
-22.5,11,0.031011
-22.5,10,0.031955
-22.5,9,0.032584
-22.5,8,0.032992
-22.5,7,0.033498
-22.5,6,0.033012
-22.5,5,0.0325
-22.5,4,0.030996
-22.5,3,0.025673
-22.5,2,0.01911
-22.5,1,0.0058824
-22.5,0,-0.03125
-25,25,0.015923
-25,24,0.016946
-25,23,0.019346
-25,22,0.020336
-25,21,0.022244
-25,20,0.023184
-25,19,0.02467
-25,18,0.025555
-25,17,0.026742
-25,16,0.02754
-25,15,0.028469
-25,14,0.029128
-25,13,0.030048
-25,12,0.030747
-25,11,0.031647
-25,10,0.032273
-25,9,0.032829
-25,8,0.033278
-25,7,0.032867
-25,6,0.032354
-25,5,0.03141
-25,4,0.029331
-25,3,0.025673
-25,2,0.01911
-25,1,0.0058824
-25,0,-0.03125
-27.5,25,0.018862
-27.5,24,0.019989
-27.5,23,0.021674
-27.5,22,0.022708
-27.5,21,0.024002
-27.5,20,0.024943
-27.5,19,0.025956
-27.5,18,0.026787
-27.5,17,0.027569
-27.5,16,0.028219
-27.5,15,0.028927
-27.5,14,0.029648
-27.5,13,0.03051
-27.5,12,0.031209
-27.5,11,0.03186
-27.5,10,0.032461
-27.5,9,0.032867
-27.5,8,0.033034
-27.5,7,0.033012
-27.5,6,0.032386
-27.5,5,0.030894
-27.5,4,0.028487
-27.5,3,0.024076
-27.5,2,0.01911
-27.5,1,0.0058824
-27.5,0,-0.03125
-30,25,0.021413
-30,24,0.021964
-30,23,0.023662
-30,22,0.024234
-30,21,0.025506
-30,20,0.0261
-30,19,0.026981
-30,18,0.027587
-30,17,0.028197
-30,16,0.028907
-30,15,0.029484
-30,14,0.030206
-30,13,0.030666
-30,12,0.03157
-30,11,0.031978
-30,10,0.032405
-30,9,0.032885
-30,8,0.032567
-30,7,0.032354
-30,6,0.031175
-30,5,0.02909
-30,4,0.028487
-30,3,0.024076
-30,2,0.01911
-30,1,0.0058824
-30,0,-0.03125
-32.5,25,0.02325
-32.5,24,0.023872
-32.5,23,0.025008
-32.5,22,0.025675
-32.5,21,0.026394
-32.5,20,0.027072
-32.5,19,0.027543
-32.5,18,0.028155
-32.5,17,0.028789
-32.5,16,0.029435
-32.5,15,0.029956
-32.5,14,0.030666
-32.5,13,0.030939
-32.5,12,0.031843
-32.5,11,0.032203
-32.5,10,0.032317
-32.5,9,0.032423
-32.5,8,0.031754
-32.5,7,0.032009
-32.5,6,0.03141
-32.5,5,0.02909
-32.5,4,0.025673
-32.5,3,0.024076
-32.5,2,0.01911
-32.5,1,0.0058824
-32.5,0,-0.03125
-35,25,0.024672
-35,24,0.02528
-35,23,0.025931
-35,22,0.02661
-35,21,0.02697
-35,20,0.02764
-35,19,0.028146
-35,18,0.028737
-35,17,0.029163
-35,16,0.029893
-35,15,0.030429
-35,14,0.030852
-35,13,0.031559
-35,12,0.03178
-35,11,0.032212
-35,10,0.03171
-35,9,0.032323
-35,8,0.032164
-35,7,0.030779
-35,6,0.030894
-35,5,0.029331
-35,4,0.025673
-35,3,0.01911
-35,2,0.01911
-35,1,0.0058824
-35,0,-0.03125
