"","theta1","theta2","objective"
"1",5,25,-0.0307692307692308
"2",5,24,-0.0307692307692308
"3",5,23,-0.0307692307692308
"4",5,22,-0.0307692307692308
"5",5,21,0.00615384615384615
"6",5,20,-0.00307692307692308
"7",5,19,0.00626959247648903
"8",5,18,0.00641025641025641
"9",5,17,0.00641025641025641
"10",5,16,0.00666666666666667
"11",5,15,0.00668896321070234
"12",5,14,0.0068259385665529
"13",5,13,0.00738007380073801
"14",5,12,0.00754716981132075
"15",5,11,0.00760456273764259
"16",5,10,0.00836820083682008
"17",5,9,0.00888888888888889
"18",5,8,0.00934579439252336
"19",5,7,0.0104712041884817
"20",5,6,0.00985221674876847
"21",5,5,0.0111731843575419
"22",5,4,0.0116959064327485
"23",5,3,0.018348623853211
"24",5,2,0.0232558139534884
"25",5,1,-0.0121951219512195
"26",5,0,-0.05
"27",2.5,25,-0.0307692307692308
"28",2.5,24,-0.0307692307692308
"29",2.5,23,-0.00309597523219814
"30",2.5,22,0.00626959247648903
"31",2.5,21,0.00626959247648903
"32",2.5,20,0.00643086816720257
"33",2.5,19,0.00655737704918033
"34",2.5,18,0.0066006600660066
"35",2.5,17,0.00664451827242525
"36",2.5,16,0.00701754385964912
"37",2.5,15,0.00719424460431655
"38",2.5,14,0.00732600732600733
"39",2.5,13,0.00754716981132075
"40",2.5,12,0.00763358778625954
"41",2.5,11,0.0078740157480315
"42",2.5,10,0.00921658986175115
"43",2.5,9,0.00909090909090909
"44",2.5,8,0.01
"45",2.5,7,0.0103626943005181
"46",2.5,6,0.0279329608938547
"47",2.5,5,0.0136054421768707
"48",2.5,4,0.0147058823529412
"49",2.5,3,0.0178571428571429
"50",2.5,2,0.0222222222222222
"51",2.5,1,0.0240963855421687
"52",2.5,0,0.0625
"53",0,25,-0.00307692307692308
"54",0,24,-0.00311526479750779
"55",0,23,0.00625
"56",0,22,0.00632911392405063
"57",0,21,0.00643086816720257
"58",0,20,0.00664451827242525
"59",0,19,0.00673400673400673
"60",0,18,0.00675675675675676
"61",0,17,0.00706713780918728
"62",0,16,0.00719424460431655
"63",0,15,0.00749063670411985
"64",0,14,0.00763358778625954
"65",0,13,0.00772200772200772
"66",0,12,0.00829875518672199
"67",0,11,0.00917431192660551
"68",0,10,0.00956937799043062
"69",0,9,0.00985221674876847
"70",0,8,0.0268817204301075
"71",0,7,0.0265957446808511
"72",0,6,0.0284090909090909
"73",0,5,0.0306748466257669
"74",0,4,0.0158730158730159
"75",0,3,0.0185185185185185
"76",0,2,0.0227272727272727
"77",0,1,0.0235294117647059
"78",0,0,0.025
"79",-2.5,25,0.00634920634920635
"80",-2.5,24,0.00628930817610063
"81",-2.5,23,0.00643086816720257
"82",-2.5,22,0.00655737704918033
"83",-2.5,21,0.00657894736842105
"84",-2.5,20,0.00673400673400673
"85",-2.5,19,0.00696864111498258
"86",-2.5,18,0.00716845878136201
"87",-2.5,17,0.0072992700729927
"88",-2.5,16,0.00749063670411985
"89",-2.5,15,0.00769230769230769
"90",-2.5,14,0.00840336134453781
"91",-2.5,13,0.00840336134453781
"92",-2.5,12,0.0091324200913242
"93",-2.5,11,0.00925925925925926
"94",-2.5,10,0.0247524752475248
"95",-2.5,9,0.0263157894736842
"96",-2.5,8,0.027027027027027
"97",-2.5,7,0.0304878048780488
"98",-2.5,6,0.0136986301369863
"99",-2.5,5,0.0150375939849624
"100",-2.5,4,0.0166666666666667
"101",-2.5,3,0.02
"102",-2.5,2,0.0224719101123595
"103",-2.5,1,-0.0123456790123457
"104",-2.5,0,0.025
"105",-5,25,0.00643086816720257
"106",-5,24,0.00651465798045603
"107",-5,23,0.00664451827242525
"108",-5,22,0.00671140939597315
"109",-5,21,0.00680272108843537
"110",-5,20,0.00716845878136201
"111",-5,19,0.00716845878136201
"112",-5,18,0.00740740740740741
"113",-5,17,0.00769230769230769
"114",-5,16,0.0078125
"115",-5,15,0.00819672131147541
"116",-5,14,0.00829875518672199
"117",-5,13,0.00854700854700855
"118",-5,12,0.0227272727272727
"119",-5,11,0.00943396226415094
"120",-5,10,0.0253807106598985
"121",-5,9,0.028735632183908
"122",-5,8,0.0303030303030303
"123",-5,7,0.0316455696202532
"124",-5,6,0.0142857142857143
"125",-5,5,0.0145985401459854
"126",-5,4,-0.00869565217391304
"127",-5,3,-0.0099009900990099
"128",-5,2,0.0229885057471264
"129",-5,1,0.0235294117647059
"130",-5,0,0.025
"131",-7.5,25,0.00657894736842105
"132",-7.5,24,0.00673400673400673
"133",-7.5,23,0.00680272108843537
"134",-7.5,22,0.0068259385665529
"135",-7.5,21,0.00711743772241993
"136",-7.5,20,0.00727272727272727
"137",-7.5,19,0.00740740740740741
"138",-7.5,18,0.00769230769230769
"139",-7.5,17,0.00778210116731518
"140",-7.5,16,0.00829875518672199
"141",-7.5,15,0.021551724137931
"142",-7.5,14,0.0221238938053097
"143",-7.5,13,0.0227272727272727
"144",-7.5,12,0.0245098039215686
"145",-7.5,11,0.0264550264550265
"146",-7.5,10,0.0276243093922652
"147",-7.5,9,0.029585798816568
"148",-7.5,8,0.0136986301369863
"149",-7.5,7,0.0142857142857143
"150",-7.5,6,0.0147058823529412
"151",-7.5,5,0.0149253731343284
"152",-7.5,4,-0.0087719298245614
"153",-7.5,3,-0.00961538461538462
"154",-7.5,2,0.0235294117647059
"155",-7.5,1,0.0238095238095238
"156",-7.5,0,0.025
"157",-10,25,0.00675675675675676
"158",-10,24,0.0069204152249135
"159",-10,23,0.00701754385964912
"160",-10,22,0.00719424460431655
"161",-10,21,0.00727272727272727
"162",-10,20,0.00757575757575758
"163",-10,19,0.00763358778625954
"164",-10,18,0.0206611570247934
"165",-10,17,0.0210084033613445
"166",-10,16,0.0217391304347826
"167",-10,15,0.0225225225225225
"168",-10,14,0.0245098039215686
"169",-10,13,0.0248756218905473
"170",-10,12,0.0261780104712042
"171",-10,11,0.0290697674418605
"172",-10,10,0.0276243093922652
"173",-10,9,0.0136054421768707
"174",-10,8,0.0318471337579618
"175",-10,7,0.0144927536231884
"176",-10,6,0.0151515151515152
"177",-10,5,-0.00826446280991736
"178",-10,4,-0.00961538461538462
"179",-10,3,0.021978021978022
"180",-10,2,0.0235294117647059
"181",-10,1,-0.0119047619047619
"182",-10,0,-0.0125
"183",-12.5,25,0.00699300699300699
"184",-12.5,24,0.00709219858156028
"185",-12.5,23,0.0072463768115942
"186",-12.5,22,0.0075187969924812
"187",-12.5,21,0.0190114068441065
"188",-12.5,20,0.00778210116731518
"189",-12.5,19,0.00819672131147541
"190",-12.5,18,0.0210970464135021
"191",-12.5,17,0.0221238938053097
"192",-12.5,16,0.0219298245614035
"193",-12.5,15,0.0229357798165138
"194",-12.5,14,0.0246305418719212
"195",-12.5,13,0.0257731958762887
"196",-12.5,12,0.0271739130434783
"197",-12.5,11,0.0284090909090909
"198",-12.5,10,0.0308641975308642
"199",-12.5,9,0.0136054421768707
"200",-12.5,8,0.013986013986014
"201",-12.5,7,0.0153846153846154
"202",-12.5,6,-0.0078125
"203",-12.5,5,-0.0087719298245614
"204",-12.5,4,0.0194174757281553
"205",-12.5,3,0.021978021978022
"206",-12.5,2,0.0238095238095238
"207",-12.5,1,0.0246913580246914
"208",-12.5,0,0.025
"209",-15,25,0.0072992700729927
"210",-15,24,0.00740740740740741
"211",-15,23,0.00766283524904215
"212",-15,22,0.0193798449612403
"213",-15,21,0.0202429149797571
"214",-15,20,0.0204918032786885
"215",-15,19,0.0213675213675214
"216",-15,18,0.0218340611353712
"217",-15,17,0.0220264317180617
"218",-15,16,0.0239234449760766
"219",-15,15,0.0251256281407035
"220",-15,14,0.0260416666666667
"221",-15,13,0.0271739130434783
"222",-15,12,0.0285714285714286
"223",-15,11,0.0290697674418605
"224",-15,10,0.0306748466257669
"225",-15,9,0.013986013986014
"226",-15,8,0.0142857142857143
"227",-15,7,-0.00763358778625954
"228",-15,6,-0.0078740157480315
"229",-15,5,-0.00884955752212389
"230",-15,4,-0.0102040816326531
"231",-15,3,0.0217391304347826
"232",-15,2,0.0238095238095238
"233",-15,1,-0.0487804878048781
"234",-15,0,0.025
"235",-17.5,25,0.0185185185185185
"236",-17.5,24,0.00763358778625954
"237",-17.5,23,0.0193798449612403
"238",-17.5,22,0.0203252032520325
"239",-17.5,21,0.0210084033613445
"240",-17.5,20,0.0218340611353712
"241",-17.5,19,0.0218340611353712
"242",-17.5,18,0.0238095238095238
"243",-17.5,17,0.024390243902439
"244",-17.5,16,0.0248756218905473
"245",-17.5,15,0.0265957446808511
"246",-17.5,14,0.0274725274725275
"247",-17.5,13,0.0276243093922652
"248",-17.5,12,0.0294117647058824
"249",-17.5,11,0.0122699386503067
"250",-17.5,10,0.0136986301369863
"251",-17.5,9,0.0144927536231884
"252",-17.5,8,0.0148148148148148
"253",-17.5,7,-0.0078125
"254",-17.5,6,-0.0087719298245614
"255",-17.5,5,-0.00917431192660551
"256",-17.5,4,0.0194174757281553
"257",-17.5,3,0.0217391304347826
"258",-17.5,2,0.0238095238095238
"259",-17.5,1,-0.0123456790123457
"260",-17.5,0,-0.0125
"261",-20,25,0.0190114068441065
"262",-20,24,0.0196850393700787
"263",-20,23,0.0206611570247934
"264",-20,22,0.0210970464135021
"265",-20,21,0.0214592274678112
"266",-20,20,0.0224215246636771
"267",-20,19,0.0239234449760766
"268",-20,18,0.0246305418719212
"269",-20,17,0.0252525252525253
"270",-20,16,0.0261780104712042
"271",-20,15,0.027027027027027
"272",-20,14,0.0276243093922652
"273",-20,13,0.0292397660818713
"274",-20,12,0.0292397660818713
"275",-20,11,0.0132450331125828
"276",-20,10,0.013986013986014
"277",-20,9,0.0149253731343284
"278",-20,8,-0.00775193798449612
"279",-20,7,-0.00813008130081301
"280",-20,6,0.016
"281",-20,5,-0.00925925925925926
"282",-20,4,-0.0102040816326531
"283",-20,3,0.0222222222222222
"284",-20,2,-0.0116279069767442
"285",-20,1,0.0617283950617284
"286",-20,0,-0.0125
"287",-22.5,25,0.0204918032786885
"288",-22.5,24,0.0209205020920502
"289",-22.5,23,0.0212765957446809
"290",-22.5,22,0.0219298245614035
"291",-22.5,21,0.0228310502283105
"292",-22.5,20,0.0241545893719807
"293",-22.5,19,0.0248756218905473
"294",-22.5,18,0.0257731958762887
"295",-22.5,17,0.0260416666666667
"296",-22.5,16,0.0276243093922652
"297",-22.5,15,0.0274725274725275
"298",-22.5,14,0.0284090909090909
"299",-22.5,13,0.0297619047619048
"300",-22.5,12,0.0131578947368421
"301",-22.5,11,0.0138888888888889
"302",-22.5,10,0.0142857142857143
"303",-22.5,9,0.0150375939849624
"304",-22.5,8,-0.008
"305",-22.5,7,-0.00862068965517241
"306",-22.5,6,-0.00862068965517241
"307",-22.5,5,-0.00934579439252336
"308",-22.5,4,0.0520833333333333
"309",-22.5,3,0.0227272727272727
"310",-22.5,2,0.0238095238095238
"311",-22.5,1,0.0246913580246914
"312",-22.5,0,-0.0125
"313",-25,25,0.0209205020920502
"314",-25,24,0.0218340611353712
"315",-25,23,0.0227272727272727
"316",-25,22,0.0233644859813084
"317",-25,21,0.0239234449760766
"318",-25,20,0.0248756218905473
"319",-25,19,0.0253807106598985
"320",-25,18,0.0261780104712042
"321",-25,17,0.0268817204301075
"322",-25,16,0.0277777777777778
"323",-25,15,0.0116279069767442
"324",-25,14,0.0290697674418605
